Time:                Speed(Knots):        Altitude(Feet):      Pressure(psi):       Temperature(F):      Pitch():             
2009:20:06:45:40     1.1190122563654592   54.55060372117071    3252078.2697804593   -160.61882617601336  0.9736472878782987   
2009:20:06:45:40     4.652198581318934    128.47394349357887   -12841.855813827862  -158.40229245955425  1.242825884685106    
2009:20:06:45:40     18.960816252236445   3749.7282150485976   3368538.4968499225   -149.08671650850854  1.5748229022296667   
2009:20:06:45:41     45.772979022202676   4046.4724266055628   52.16712624785291    -145.646416645051    2.649438069516852    
2009:20:06:45:41     4.222954543718349    2073.993778442118    -13183.813544125034  -172.2220305190409   0.22358341109062208  
2009:20:06:45:41     100.6623277478219    4870.07182807585     52.379406117992744   -132.78587996274692  3.441883646677202    
2009:20:06:45:41     22.854605181860556   3137.6415837816253   -13306.579319184946  -171.63679317948973  0.43481716257134373  
2009:20:06:45:41     124.00145466679413   5125.056802607985    52.57850935099007    -130.43103027097467  3.998907393362572    
2009:20:06:45:41     52.05127635641404    12677.228062323698   52.961788093246476   -169.9816167321392   0.6882992716203629   
2009:20:06:45:41     143.80226874722635   5261.903700476023    -13714.832657612875  -123.76936018948305  4.036210975206977    
2009:20:06:45:41     116.610440549064     13020.502475414653   -13555.22644876458   -168.6611582408563   2.039667561615488    
2009:20:06:45:42     189.0717479909927    5459.779487313698    -13862.171850927323  -122.65868667697382  4.235270901385135    
2009:20:06:45:42     130.07751021896618   14156.238064721949   53.308847941206935   -160.44901589667478  2.1347023498961004   
2009:20:06:45:42     206.60633047622156   9974.149753385931    -13927.195691635574  -106.35728340422338  5.438326350174361    
2009:20:06:45:42     144.07190038385176   19827.381225138262   -13645.750413666885  -160.25927587895617  2.3345693239771204   
2009:20:06:45:42     215.42672130055328   10143.504438016438   56.079813876986904   -101.96995363805513  5.7059708225850825   
2009:20:06:45:42     174.15900848588595   20027.83554452563    54.162935745138974   -151.4995102575166   2.6960209431410753   
2009:20:06:45:42     221.04220445197709   10151.139249403584   56.105408899811415   -97.41996193739021   6.058681819630318    
2009:20:06:45:42     182.4377383256548    22318.356192690648   3598494.3270522486   -147.66248406647196  2.8196013380919926   
2009:20:06:45:43     224.18686232212147   15266.076541955354   56.13945688052513    -95.6590528423697    6.457454165068743    
2009:20:06:45:43     194.3636025084101    27950.98021853547    -14201.64241637522   -144.41898828980976  3.2295944276018673   
2009:20:06:45:43     242.4908470663648    15521.863200748909   56.29856060988425    -79.74885013995296   6.728430844101263    
2009:20:06:45:43     212.12245075042557   31559.330274109932   -14273.704323981317  -143.12357260901754  4.601247915150419    
2009:20:06:45:43     304.441287244163     18484.51848016739    56.776773345149635   -70.15093152727798   7.218509044024179    
2009:20:06:45:43     232.1536329934648    33130.636289146794   56.26568772252982    -141.49112563404213  5.329016959228161    
2009:20:06:45:43     311.2647417419112    22638.779461488644   56.94926640096409    -62.1532253204995    7.447036812623676    
2009:20:06:45:43     234.1138751764956    33251.08442556194    56.346021686799475   -141.06335023730384  5.344820778859227    
2009:20:06:45:44     311.7236292740427    25684.07776176873    56.972441304922185   -54.71926021351405   8.438506557560121    
2009:20:06:45:44     252.03490209336908   40161.45846794492    56.63027805239085    -140.73643057653356  5.4406229635698855   
2009:20:06:45:44     361.79438166797394   26846.384396001587   56.994604098622446   -53.572921405352616  8.75576513912062     
2009:20:06:45:44     258.6389430303668    43908.52238888279    56.73995568093115    -139.91837525420073  5.98763184924419     
2009:20:06:45:44     364.48253857842604   26969.571015277994   58.51654242372217    -52.420272759571816  9.562549353677808    
2009:20:06:45:44     320.60821224578905   45176.363683871175   59.374582200684145   -130.49728865922913  6.4089725452172175   
2009:20:06:45:44     411.1196215868772    29585.403230235574   58.79048287708355    -45.39895477482155   9.599097999967087    
2009:20:06:45:44     356.09949436470123   45760.19096713836    60.85111253093301    -126.54387799098947  6.7567007447449035   
2009:20:06:45:45     440.54970716607056   29710.04458657994    58.9296507399395     -37.39727781353652   9.871728625262943    
2009:20:06:45:45     391.97626485587324   47068.035800491336   62.195454918261284   -123.19309170506381  7.779806930441979    
2009:20:06:45:45     448.48448911406666   30682.789066638692   59.535253465075044   -33.897882180191175  9.906573608334124    
2009:20:06:45:45     394.60023308017054   48961.5786252932     62.978662975740065   -122.56302163615311  8.573306033720662    
2009:20:06:45:45     473.8583995905253    31048.345724404924   59.890451815405314   -32.317192111427204  10.376227895092194   
2009:20:06:45:45     419.7739867603485    49817.338595193614   63.491485330666734   -116.11508206502373  8.707860774448017    
2009:20:06:45:45     481.5922640395135    32047.644706906598   60.73087663470034    -24.75952312139472   10.671486892058123   
2009:20:06:45:45     458.2554339190592    52310.07114828422    64.79866369402897    -109.33270772609416  8.934556369305714    
2009:20:06:45:46     484.3205261570196    32815.950474895726   60.78193463275316    -18.32103077377161   11.06845452388825    
2009:20:06:45:46     468.9116536797704    53037.61000546372    65.70430910621039    -104.38498162924444  9.22266631702776     
2009:20:06:45:46     487.71023308904137   35239.18632202697    60.96974096891694    -14.075716893102708  11.2744791431189     
2009:20:06:45:46     487.2721386060583    56093.42031160264    66.13110561164758    -103.36197721776509  9.518344680812096    
2009:20:06:45:46     487.7999482292831    36030.28675724108    61.900397419319965   -12.097965805067432  11.39722699871898    
2009:20:06:45:46     501.71567486985793   60593.09403375519    67.77097586676328    -100.22490097791456  10.0788964874587     
2009:20:06:45:46     489.5408506167892    37728.41230950864    62.289430494200104   -6.039876187239315   11.746326335931801   
2009:20:06:45:46     510.214266624697     63399.92492080785    68.203251692176      -98.44621245955116   10.475012766480429   
2009:20:06:45:47     506.762315430329     40303.80924855789    62.316248891914896   -4.119111767266489   11.81875386513591    
2009:20:06:45:47     519.5385106251264    66818.42650636211    68.42243058609031    -92.4532046804031    10.73866430416669    
2009:20:06:45:47     507.8199990328625    43326.876844570885   62.52981868171914    -1.620864311012312   11.847556159583593   
